STATION,NAME,DATE,DAEV,DAWM,EVAP,MDEV,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-04-26,,,,,,,,0,0,0,89,59,87,60.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-04-27,,,,,,,,0,0,0,93,64,92,72.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-04-28,,,,,,,,0,0,0,97,61,96,31.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-04-29,,,,,,,,0,0,0,104,64,101,62.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-04-30,,,,,,,,0,0,0,102,73,100,110
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-01,,,0.75,,,,,0,0,0,104,71,101,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-02,,,0.86,,,,,0,0,0,102,73,97,144.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-03,,,0.47,,,,,0,0,0,98,66,94,13
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-04,,,0.49,,,,,0,0,0,95,69,90,175.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-05,,,,,,,,0,0,0,93,65,,
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-06,2,2,,1.4,320,,,0,0,0,89,64,83,
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-07,,,0.64,,,,,0.01,0,0,89,61,87,57.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-08,,,0.34,,,,,0,0,0,95,59,95,52.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-09,,,,,,,,0,0,0,104,64,103,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-10,2,,,1.4,,,,0,0,0,103,78,99,236.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-11,,,1.05,,,,,0,0,0,100,70,90,261
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-12,,,0.93,,,,,0,0,0,90,64,71,247.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-13,,,0.53,,,,,0,0,0,92,67,90,183.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-14,,,0.6,,,,,0,0,0,96,71,96,75.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-15,,,0.64,,,,,0,0,0,98,77,96,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-16,,,,,,,,0,0,0,100,71,99,60.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-17,,,,,,,,0,0,0,101,78,100,47.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-18,3,,,1.9,,,,0,0,0,102,80,100,177.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-19,,,1.2,,,,,0,0,0,103,76,87,198.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-20,,,0.46,,,,,0,0,0,96,65,95,151
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-21,,,0.67,,,,,0,0,0,100,77,99,152.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-22,,,0.65,,,,,0,0,0,101,78,101,72.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-23,,,0.81,,,,,0,0,0,101,75,96,134.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-24,,,0.75,,,,,0,0,0,101,76,100,113.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-25,,,1.02,,,,,0,0,0,103,78,103,126.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-26,,,1.2,,,,,0,0,0,104,78,98,198.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-27,,,0.72,,,,,0,0,0,99,73,97,162.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-28,,,0.85,,,,,0,0,0,95,76,93,180.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-29,,,0.9,,,,,0,0,0,94,73,91,218.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-30,,,0.67,,,,,0,0,0,93,69,92,96.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-05-31,,,0.87,,,,,0,0,0,94,72,87,254.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-01,,,0.62,,,,,0,0,0,89,65,82,116.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-02,,,0.43,,,,,0,0,0,93,68,93,126.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-03,,,0.52,,,,,0,0,0,101,74,99,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-04,,,0.75,,,,,0,0,0,104,81,102,37.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-05,,,0.89,,,,,0,0,0,106,83,105,90.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-06,,,0.78,,,,,0,0,0,106,82,105,198.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-07,,,,,,,,0,0,0,106,80,105,141.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-08,,,0.91,,,,,0,0,0,107,86,106,151
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-09,,,1.35,,,,,0,0,0,107,81,103,159.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-10,,,0.68,,,,,0,0,0,108,76,108,80.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-11,,,0.8,,,,,0,0,0,109,86,107,105
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-12,,,0.75,,,,,0,0,0,110,81,110,105
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-13,,,0.68,,,,,0,0,0,116,85,115,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-14,,,0.93,,,,,0,0,0,118,91,117,88.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-15,,,1.15,,,,,0,0,0,119,93,117,146
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-16,,,0.9,,,,,0,0,0,120,90,119,42.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-17,,,0.78,,,,,0,0,0,121,94,119,16.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-18,,,0.9,,,,,0,0,0,120,94,120,136.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-19,,,0.75,,,,,0,0,0,123,87,122,36
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-06-20,,,0.64,,,,,0,0,0,125,92,123,49.1
